Id,Link
0,"https://www.onet.pl/informacje/onetwiadomosci/koronawirus-lukasz-szumowski-w-szpitalu-nieoficjalnie/rzy3tcq,79cfc278"
1,"https://www.onet.pl/informacje/onetwiadomosci/koronawirus-wynik-testu-morawieckiego-ujemny-ale-pozostaje-na-kwarantannie/6p630hk,79cfc278"
2,"https://www.onet.pl/informacje/onetwarszawa/koronawirus-w-polsce-co-z-miejscami-dla-chorych-lekarz-komentuje/jbtc128,79cfc278"
3,"https://www.onet.pl/sport/onetsport/polonia-warszawa-gregoire-nitot-o-inwestycji-w-warszawski-klub/bxqq4xk,d87b6cc4"
4,"https://www.onet.pl/informacje/onetwiadomosci/protesty-na-bialorusi-sierakowski-zaplonely-opony-i-znow-padly-strzaly-w-minsku/zd0h4ps,79cfc278"
5,"https://www.onet.pl/kultura/onetkultura/maja-komorowska-odmowila-udzialu-w-kongresie-kultury-chrzescijanskiej-na-kul/f6qd42h,681c1dfa"
6,"https://www.onet.pl/informacje/onetszczecin/detonacja-bomby-tallboy-piec-rzeczy-ktore-trzeba-wiedziec/jjk0ep3,79cfc278"
7,"https://www.onet.pl/informacje/onetwiadomosci/beata-morawiec-bez-immunitetu-europejscy-sedziowie-wydali-oswiadczenie/8sxtsfb,79cfc278"
8,"https://www.onet.pl/turystyka/onetpodroze/51-letnia-polka-pobila-dwie-inne-pasazerki-podczas-lotu-z-egiptu/p23zhff,07640b54"
9,"https://www.onet.pl/informacje/onetwiadomosci/prezes-cedrobu-do-dziennikarza-onetu-z-kim-walczysz-ile-ci-placa/ejswsmb,79cfc278"
10,"https://www.onet.pl/informacje/onetwiadomosci/zabojstwo-gen-papaly-obronca-patyka-wnosi-o-uniewinnienie/519dtty,79cfc278"
11,"https://www.onet.pl/informacje/onetwiadomosci/jutro-w-onecie/4hp67fq,79cfc278"
12,"https://www.onet.pl/informacje/onetwiadomosci/koronawirus-wynik-testu-morawieckiego-ujemny-ale-premier-pozostaje-na-kwarantannie/6p630hk,79cfc278"
13,"https://www.onet.pl/informacje/onettrojmiasto/neutralizacja-tallboya-bomba-zdetonowana-wybuch-pod-kontrola/gmsxnxz,79cfc278"
14,"https://www.onet.pl/informacje/onetwiadomosci/bialorus-cichanouska-stawia-ultimatum-lukaszence/p82smxy,79cfc278"
15,"https://www.onet.pl/informacje/onetwiadomosci/tusk-o-slowach-kaczynskiego-myslalem-ze-niczym-mnie-juz-nie-zaskoczy/4bs9pyp,79cfc278"
16,"https://www.onet.pl/informacje/onetwiadomosci/koronawirus-w-polsce-kolejne-obostrzenia-wicepremier-podal-date/7fn6zrj,79cfc278"
17,"https://www.onet.pl/informacje/onetwiadomosci/koronawirus-w-polsce-prezes-nrl-zada-przeprosin-od-wicepremiera-jacka-sasina/1zzytv3,79cfc278"
18,"https://www.onet.pl/informacje/onetwiadomosci/sondaz-kantar-pis-36-proc-ko-28-proc-ruch-2050-9-proc/4t4qkgh,79cfc278"
19,"https://www.onet.pl/informacje/onetwiadomosci/jaroslaw-kaczynski-dla-gpc-o-naciskach-ze-strony-ue-i-glosowaniu-ws-budzetu-bedzie/5jr57rv,79cfc278"
20,"https://www.onet.pl/informacje/onetlublin/kul-odwolany-wyklad-to-protest-w-obronie-ks-alfreda-wierzbickiego/slprs1c,79cfc278"
21,"https://www.onet.pl/styl-zycia/fajnyogrod/masz-winogrona-w-ogrodzie-wazny-zabieg-ktorego-nie-mozna-pominac/0nfxjbl,30bc1058"
22,"https://www.onet.pl/muzyka/onetmuzyka/byla-namietna-bardzo-nieletnia-panasewicz-odpowiada-na-zarzuty/8wt92qq,681c1dfa"
23,"https://www.onet.pl/styl-zycia/onetdom/rasy-psow-agresywnych-lista/mtjfgtr,2b83378a"
24,"https://www.onet.pl/muzyka/onetmuzyka/maciej-malenczuk-to-juz-nie-jest-moj-swiat-wywiad/cthw11m,681c1dfa"
25,"https://www.onet.pl/styl-zycia/onetdziecko/ksiezna-kate-jest-w-czwartej-ciazy/cy2b503,2b83378a"
26,"https://www.onet.pl/informacje/historiaorg/10-przypadkow-gdy-to-przyroda-wplynela-na-dzieje-swiata/wn01cj4,30bc1058"
27,"https://www.onet.pl/styl-zycia/onetkobieta/koronawirus-czy-chorzy-na-covid-19-powinni-kontrolowac-saturacje-krwi/7emq33k,2b83378a"
28,"https://www.onet.pl/informacje/korsopl/szesc-kul-w-glowie-kobiety-znalezionej-nad-wisla-dalszy-ciag-rodzinnego-dramatu-na-podkarpaciu/5yp48nq,30bc1058"
29,"https://www.onet.pl/styl-zycia/kb/17-najczestszych-bledow-przy-budowie-domu-ktore-moga-sporo-kosztowac/sf5tpgf,30bc1058"
30,"https://www.onet.pl/sport/onetsport/reprezentacja-polski-u-21-maciej-stolarczyk-zastapi-na-stanowisku-czeslawa/6384syb,d87b6cc4"
31,"https://www.onet.pl/styl-zycia/onetmoda/historia-sukienki-zemsty-kultowa-kreacja-ksieznej-diany-zdjecia/r92k06d,2b83378a"
32,"https://www.onet.pl/informacje/historiaorg/prawo-pierwszej-nocy-fakty-i-mity/dbxb1hj,30bc1058"
33,"https://www.onet.pl/informacje/onetwiadomosci/minister-zdrowia-odwolal-wizyte-w-mediach-przyczyna-tragedia-osobista/yme957y,79cfc278"
